OMIA_ID	Breed	Gene	Phenotype	NCBI_gene_ID
OMIA_002179-9615	labrador_retriever	ABCA4	Stargardt disease 1	NA
OMIA_001402-9615	border_collie	ABCB1	Multidrug resistance 1	403879
OMIA_001402-9615	australian_shepherd	ABCB1	Multidrug resistance 1	403879
OMIA_001402-9615	collie	ABCB1	Multidrug resistance 1	403879
OMIA_001402-9615	german_shepherd_dog	ABCB1	Multidrug resistance 1	403879
OMIA_001402-9615	longhaired_whippet	ABCB1	Multidrug resistance 1	403879
OMIA_001402-9615	miniature_australian_shepherd	ABCB1	Multidrug resistance 1	403879
OMIA_001402-9615	old_english_sheepdog	ABCB1	Multidrug resistance 1	403879
OMIA_001402-9615	shetland_sheepdog	ABCB1	Multidrug resistance 1	403879
OMIA_001402-9615	silken_windhound	ABCB1	Multidrug resistance 1	403879
OMIA_001402-9615	waller	ABCB1	Multidrug resistance 1	403879
OMIA_001402-9615	white_swiss_shepherd	ABCB1	Multidrug resistance 1	403879
OMIA_001524-9615	shetland_sheepdog	ABCB4	Gallbladder mucoceles	482284
OMIA_002140-9615	german_hunting_terrier	ACADVL	Exercise induced metabolic myopathy	489463
OMIA_002177-9615	akita	ACPT	Amelogenesis imperfecta, ACP4-related	NA
OMIA_002177-9615	american_akita	ACPT	Amelogenesis imperfecta, ACP4-related	NA
OMIA_001520-9615	glen_of_imaal_terrier	ADAM9	Cone-rod dystrophy 3	475579
OMIA_001870-9615	beagle	ADAMTS10	Glaucoma, primary open angle	611267
OMIA_001870-9615	norwegian_elkhound	ADAMTS10	Glaucoma, primary open angle	611267
OMIA_000588-9615,_OMIA_001976-9615	chinese_sharpei	ADAMTS17	Primary open-angle glaucoma (POAG), primary lens luxation (PLL), or both	488708
OMIA_001976-9615	petit_basset_griffon_vendéen	ADAMTS17	Glaucoma, primary open angle, ADAMTS17-related	488708
OMIA_001976-9615	basset_hound	ADAMTS17	Glaucoma, primary open angle, ADAMTS17-related	488708
OMIA_000588-9615	american_hairless	ADAMTS17	Lens luxation	488708
OMIA_000588-9615	chinese_crested	ADAMTS17	Lens luxation	488708
OMIA_000588-9615	jack_russell_terrier	ADAMTS17	Lens luxation	488708
OMIA_001976-9615	basset_fauve_de_bretagne	ADAMTS17	Glaucoma, primary open angle, ADAMTS17-related	488708
OMIA_000328-9615	doberman_pinscher	ADAMTS2	Ehlers-Danlos syndrome, type VII (Dermatosparaxis)	282401
OMIA_001140-9615	nova_scotia_duck_tolling_retriever	ADAMTS20	Cleft lip with or without cleft palate	486602
OMIA_001893-9615	norwich_terrier	ADAMTS3	Upper airway syndrome	NA
OMIA_001509-9615	beagle	ADAMTSL2	Musladin-Lueke syndrome	491276
